parasite_index,connected_localities
26909,Europe
27139,Europe
22174,Europe
26055,Europe
27760,Europe
27762,Europe
27769,Europe
23218,Europe
28241,Europe
27671,Europe
23214,Europe
22156,Europe
25372,Europe
27664,Europe
30243,North America
26493,Europe
20432,Europe
25249,Europe
30286,Europe
23176,Europe
20884,Europe
30313,Europe
20052,Europe
22182,Europe
20068,Europe
20092,Europe
21512,Europe
30049,Europe
30365,Europe
21693,Europe
30027,Europe
25370,Europe
3248,Asia
4967,North America
4975,North America
4978,North America
101,Pacific Ocean
21920,Indian Ocean
103,Southern Ocean
135,South America
155,Pacific Ocean
187,Pacific Ocean
188,Atlantic Ocean
204,South America
209,South America
213,Southern Ocean
221,Southern Ocean
224,Southern Ocean
3046,Atlantic Ocean
9724,Indian Ocean
9741,Atlantic Ocean
9743,Pacific Ocean
19580,Indian Ocean
19585,Atlantic Ocean
19587,Atlantic Ocean
19592,Atlantic Ocean
19594,Southern Ocean
19599,Southern Ocean
19600,Pacific Ocean
19603,Southern Ocean
19612,Atlantic Ocean
19625,Southern Ocean
19631,Atlantic Ocean
19635,Southern Ocean
19637,Southern Ocean
227,Pacific Ocean
2214,Pacific Ocean
7647,Pacific Ocean
7648,Pacific Ocean
7649,Pacific Ocean
7650,Pacific Ocean
7677,Pacific Ocean
20042,Europe
27686,Pacific Ocean
214,Atlantic Ocean
220,Atlantic Ocean
225,Southern Ocean
9732,Atlantic Ocean
19563,Atlantic Ocean
19610,Southern Ocean
19628,Southern Ocean
19638,Atlantic Ocean
19644,Southern Ocean
27618,Indian Ocean
16598,Indian Ocean
16655,Indian Ocean
19579,Atlantic Ocean
19609,Indian Ocean
19640,Pacific Ocean
19642,Southern Ocean
19656,Indian Ocean
19658,Pacific Ocean
27246,Indian Ocean
27427,Indian Ocean
27448,Indian Ocean
21417,Atlantic Ocean
110,Pacific Ocean
22049,Australia
936,Pacific Ocean
321,Indian Ocean
3159,Atlantic Ocean
19377,Atlantic Ocean
24791,Indian Ocean
29275,Pacific Ocean
29343,Pacific Ocean
29349,Pacific Ocean
29351,Pacific Ocean
29554,Pacific Ocean
29847,Pacific Ocean
119,Atlantic Ocean
3056,Atlantic Ocean
3063,Atlantic Ocean
3069,Atlantic Ocean
9736,Atlantic Ocean
19647,Atlantic Ocean
19607,Atlantic Ocean
126,Atlantic Ocean
3276,Pacific Ocean
20830,Pacific Ocean
131,Atlantic Ocean
133,Atlantic Ocean
2584,Atlantic Ocean
3070,Atlantic Ocean
3081,Pacific Ocean
3064,Atlantic Ocean
19645,Atlantic Ocean
19646,Atlantic Ocean
129,Pacific Ocean
2509,Indian Ocean
3079,Atlantic Ocean
3080,Indian Ocean
9739,Indian Ocean
9750,Indian Ocean
9734,Pacific Ocean
3043,Atlantic Ocean
3074,Atlantic Ocean
18254,Atlantic Ocean
21109,Atlantic Ocean
28877,Atlantic Ocean
4211,Atlantic Ocean
29609,Pacific Ocean
10186,Pacific Ocean
9735,Atlantic Ocean
130,Pacific Ocean
203,Pacific Ocean
210,Pacific Ocean
334,Atlantic Ocean
2522,Pacific Ocean
2527,Pacific Ocean
3044,Atlantic Ocean
3059,Pacific Ocean
3073,Pacific Ocean
3083,Pacific Ocean
8748,Pacific Ocean
8870,Pacific Ocean
8874,Pacific Ocean
9723,Pacific Ocean
9754,Pacific Ocean
10513,Pacific Ocean
10664,Atlantic Ocean
10956,Atlantic Ocean
18188,Pacific Ocean
18189,Pacific Ocean
29942,Pacific Ocean
29944,Pacific Ocean
19562,Indian Ocean
10655,Atlantic Ocean
3038,Southern Ocean
19589,Atlantic Ocean
709,Indian Ocean
712,Atlantic Ocean
211,Southern Ocean
2170,Indian Ocean
2797,Atlantic Ocean
3306,Atlantic Ocean
3969,Atlantic Ocean
9740,Indian Ocean
20871,Atlantic Ocean
20882,Indian Ocean
21083,Indian Ocean
21164,Atlantic Ocean
149,Pacific Ocean
202,Pacific Ocean
3024,Pacific Ocean
3027,Pacific Ocean
3028,Southern Ocean
3029,Pacific Ocean
3032,Pacific Ocean
3033,Southern Ocean
3036,Southern Ocean
3055,Southern Ocean
11529,Pacific Ocean
9729,Pacific Ocean
3016,Pacific Ocean
3017,Pacific Ocean
3025,Pacific Ocean
3035,Pacific Ocean
212,Atlantic Ocean
226,Atlantic Ocean
19578,Atlantic Ocean
19620,Atlantic Ocean
19629,Atlantic Ocean
19633,Atlantic Ocean
19657,Southern Ocean
21364,Atlantic Ocean
19619,Southern Ocean
19624,Southern Ocean
27543,Indian Ocean
27577,Indian Ocean
19630,Southern Ocean
3673,Pacific Ocean
10685,Pacific Ocean
18351,Pacific Ocean
28973,Pacific Ocean
11773,Australia
19595,Southern Ocean
3023,Pacific Ocean
3026,Southern Ocean
3030,Pacific Ocean
9742,Southern Ocean
19588,Atlantic Ocean
